,car_brand,car_name,year,km_driven,fuel,transmission,price,city
640,Hyundai,Hyundai VernaSX Opt,2023,"8,659kms",Petrol,Manual,₹13.01 Lakh,Hyderabad
641,Toyota,Toyota Fortuner4X2 Diesel AT,2023,"1,04,500kms",Diesel,Automatic,₹39.95 Lakh,Hyderabad
642,Toyota,Toyota Fortuner4X2 Diesel AT BSVI,2021,"82,000kms",Diesel,Automatic,₹34.95 Lakh,Hyderabad
643,Toyota,Toyota Fortuner4X2 Diesel BSVI,2021,"84,366kms",Diesel,Manual,₹32.50 Lakh,Hyderabad
644,Kia,Kia SeltosHTX IVT,2022,"28,086kms",Petrol,Automatic,₹13.63 Lakh,Hyderabad
645,Hyundai,Hyundai VernaSX Opt,2023,"8,659kms",Petrol,Manual,₹13.01 Lakh,Hyderabad
646,Toyota,Toyota Fortuner4X2 Diesel BSVI,2021,"84,366kms",Diesel,Manual,₹32.50 Lakh,Hyderabad
647,Toyota,Toyota Fortuner4X2 Diesel BSVI,2022,"1,42,201kms",Diesel,Manual,₹32.50 Lakh,Hyderabad
648,Hyundai,Hyundai TucsonSignature AT BSVI,2023,"18,624kms",Petrol,Automatic,₹33.55 Lakh,Hyderabad
649,Citroen,Citroen C5 AircrossShine,2021,"46,900kms",Diesel,Automatic,₹30.80 Lakh,Hyderabad
650,Toyota,Toyota Fortuner4X2 Diesel AT,2023,"1,04,500kms",Diesel,Automatic,₹39.95 Lakh,Hyderabad
651,Toyota,Toyota Fortuner4X2 Diesel AT BSVI,2021,"82,000kms",Diesel,Automatic,₹34.95 Lakh,Hyderabad
652,Mahindra,Mahindra XUV300W8 Diesel Sunroof BSVI,2022,"70,000kms",Diesel,Manual,₹10.70 Lakh,Hyderabad
653,Tata,Tata TigorXZ CNG BSVI,2022,"51,500kms",CNG,Manual,₹5.48 Lakh,Hyderabad
654,Maruti,Maruti Ignis1.2 AMT Zeta BSIV,2018,"53,730kms",Petrol,Automatic,₹4.75 Lakh,Hyderabad
655,Maruti,Maruti SwiftVXI,2017,"71,736kms",Petrol,Manual,₹4.59 Lakh,Hyderabad
656,,Fiat Avventura Urban Cross1.3 Multijet Emotion,2018,"90,000kms",Diesel,Manual,₹3.85 Lakh,Hyderabad
